uid,iata_flight,dep_airport,arr_airport,dep_date,scheduled_ts,is_arrival,status,canceled,terminal,gate,raw_json,first_seen_utc,last_seen_utc,aircraft_type,Carrier,actype,seats,manual
406c167f51de662f9862ed3c3004bee9d964f4ca,NK3012,MCO,EWR,11/6/25,1762458600,0,Canceled,1,A,4,"{""scheduledDate"":""2025-11-06"",""arrival"":false,""codeShareFlightNumber"":""NK3012"",""codeShareAirlineTrackNumber"":""3012"",""iataCodeShareAirline"":""NK"",""icaoCodeShareAirline"":""NKS"",""operatingAirlineFlightNumber"":""NK3012"",""operatingAirlineTrackNumber"":""3012"",""iataOperatingAirline"":""NK"",""icaoOperatingAirline"":""NKS"",""baseAirport"":""MCO"",""departureAirport"":""MCO"",""arrivalAirport"":""EWR"",""viaAirport"":""EWR"",""viaSequencePosition"":0,""terminal"":""A"",""gate"":""4"",""baggageBelt"":[],""status"":""Canceled"",""originalStatus"":""CX"",""isDelayed"":true,""isVisible"":true,""isDeleted"":false,""scheduledTimestamp"":1762458600,""actualTimestamp"":1762471980,""bestKnownTimestamp"":1762471980,""lastUpdatedTimestamp"":1762463919,""iataOperatingAirlineFlightNumber"":""NK3012"",""icaoOperatingAirlineFlightNumber"":""NKS3012"",""iataCodeShareFlightNumber"":""NK3012"",""icaoCodeShareFlightNumber"":""NKS3012"",""id"":""eyJjb2RlU2hhcmVGbGlnaHROdW1iZXIiOiJOSzMwMTIiLCJ2aWFBaXJwb3J0IjoiRVdSIiwiYXJyaXZhbCI6ZmFsc2UsInNjaGVkdWxlZERhdGUiOiIyMDI1LTExLTA2IiwiYXJyaXZhbEFpcnBvcnQiOiJFV1IiLCJkZXBhcnR1cmVBaXJwb3J0IjoiTUNPIn0=""}",1762453402,1762491573,A320,NK,NK_A320,176,1
6a0f6658a21513809c262f774ea1a1febca5686e,F92635,MCO,STL,11/7/25,1762520400,0,Canceled,1,A,20,"{""scheduledDate"":""2025-11-07"",""arrival"":false,""codeShareFlightNumber"":""F92635"",""codeShareAirlineTrackNumber"":""2635"",""iataCodeShareAirline"":""F9"",""icaoCodeShareAirline"":""FFT"",""operatingAirlineFlightNumber"":""F92635"",""operatingAirlineTrackNumber"":""2635"",""iataOperatingAirline"":""F9"",""icaoOperatingAirline"":""FFT"",""baseAirport"":""MCO"",""departureAirport"":""MCO"",""arrivalAirport"":""STL"",""viaAirport"":""STL"",""viaSequencePosition"":0,""terminal"":""A"",""gate"":""20"",""baggageBelt"":[],""status"":""Canceled"",""originalStatus"":""CX"",""isDelayed"":false,""isVisible"":true,""isDeleted"":false,""scheduledTimestamp"":1762520400,""actualTimestamp"":1762520400,""bestKnownTimestamp"":1762520400,""lastUpdatedTimestamp"":1762477127,""iataOperatingAirlineFlightNumber"":""F92635"",""icaoOperatingAirlineFlightNumber"":""FFT2635"",""iataCodeShareFlightNumber"":""F92635"",""icaoCodeShareFlightNumber"":""FFT2635"",""id"":""eyJjb2RlU2hhcmVGbGlnaHROdW1iZXIiOiJGOTI2MzUiLCJ2aWFBaXJwb3J0IjoiU1RMIiwiYXJyaXZhbCI6ZmFsc2UsInNjaGVkdWxlZERhdGUiOiIyMDI1LTExLTA3IiwiYXJyaXZhbEFpcnBvcnQiOiJTVEwiLCJkZXBhcnR1cmVBaXJwb3J0IjoiTUNPIn0=""}",1762453405,1762577002,A321,F9,F9_A321,230,1
bf43106c12b133914dec163da9ddcd562c285033,WN2038,MIA,MCO,11/7/25,1762520700,1,Canceled,1,A,110,"{""scheduledDate"":""2025-11-07"",""arrival"":true,""codeShareFlightNumber"":""WN2038"",""codeShareAirlineTrackNumber"":""2038"",""iataCodeShareAirline"":""WN"",""icaoCodeShareAirline"":""SWA"",""operatingAirlineFlightNumber"":""WN2038"",""operatingAirlineTrackNumber"":""2038"",""iataOperatingAirline"":""WN"",""icaoOperatingAirline"":""SWA"",""baseAirport"":""MCO"",""departureAirport"":""MIA"",""arrivalAirport"":""MCO"",""viaAirport"":""MIA"",""viaSequencePosition"":0,""terminal"":""A"",""gate"":""110"",""baggageBelt"":[""12""],""status"":""Canceled"",""originalStatus"":""XL"",""isDelayed"":false,""isVisible"":true,""isDeleted"":false,""scheduledTimestamp"":1762520700,""actualTimestamp"":1762520100,""bestKnownTimestamp"":1762520100,""lastUpdatedTimestamp"":1762462894,""iataOperatingAirlineFlightNumber"":""WN2038"",""icaoOperatingAirlineFlightNumber"":""SWA2038"",""iataCodeShareFlightNumber"":""WN2038"",""icaoCodeShareFlightNumber"":""SWA2038"",""id"":""eyJjb2RlU2hhcmVGbGlnaHROdW1iZXIiOiJXTjIwMzgiLCJ2aWFBaXJwb3J0IjoiTUlBIiwiYXJyaXZhbCI6dHJ1ZSwic2NoZWR1bGVkRGF0ZSI6IjIwMjUtMTEtMDciLCJhcnJpdmFsQWlycG9ydCI6Ik1DTyIsImRlcGFydHVyZUFpcnBvcnQiOiJNSUEifQ==""}",1762453405,1762577002,B737,WN,WN_B737,137,1
bf5e9fd5daee001714eec93444d09fe4f339610b,WN1425,MCO,BNA,11/7/25,1762524000,0,Canceled,1,A,110,"{""scheduledDate"":""2025-11-07"",""arrival"":false,""codeShareFlightNumber"":""WN1425"",""codeShareAirlineTrackNumber"":""1425"",""iataCodeShareAirline"":""WN"",""icaoCodeShareAirline"":""SWA"",""operatingAirlineFlightNumber"":""WN1425"",""operatingAirlineTrackNumber"":""1425"",""iataOperatingAirline"":""WN"",""icaoOperatingAirline"":""SWA"",""baseAirport"":""MCO"",""departureAirport"":""MCO"",""arrivalAirport"":""BNA"",""viaAirport"":""RDU"",""viaSequencePosition"":0,""terminal"":""A"",""gate"":""110"",""baggageBelt"":[],""status"":""Canceled"",""originalStatus"":""XL"",""isDelayed"":false,""isVisible"":true,""isDeleted"":false,""scheduledTimestamp"":1762524000,""actualTimestamp"":1762524000,""bestKnownTimestamp"":1762524000,""lastUpdatedTimestamp"":1762463402,""iataOperatingAirlineFlightNumber"":""WN1425"",""icaoOperatingAirlineFlightNumber"":""SWA1425"",""iataCodeShareFlightNumber"":""WN1425"",""icaoCodeShareFlightNumber"":""SWA1425"",""id"":""eyJjb2RlU2hhcmVGbGlnaHROdW1iZXIiOiJXTjE0MjUiLCJ2aWFBaXJwb3J0IjoiUkRVIiwiYXJyaXZhbCI6ZmFsc2UsInNjaGVkdWxlZERhdGUiOiIyMDI1LTExLTA3IiwiYXJyaXZhbEFpcnBvcnQiOiJCTkEiLCJkZXBhcnR1cmVBaXJwb3J0IjoiTUNPIn0=""}",1762453405,1762577002,B737,WN,WN_B737,137,1
0bd30a84a67b35eeaa7789559b87965aa666af51,WN1733,BWI,MCO,11/7/25,1762524900,1,Canceled,1,A,124,"{""scheduledDate"":""2025-11-07"",""arrival"":true,""codeShareFlightNumber"":""WN1733"",""codeShareAirlineTrackNumber"":""1733"",""iataCodeShareAirline"":""WN"",""icaoCodeShareAirline"":""SWA"",""operatingAirlineFlightNumber"":""WN1733"",""operatingAirlineTrackNumber"":""1733"",""iataOperatingAirline"":""WN"",""icaoOperatingAirline"":""SWA"",""baseAirport"":""MCO"",""departureAirport"":""BWI"",""arrivalAirport"":""MCO"",""viaAirport"":""BWI"",""viaSequencePosition"":0,""terminal"":""A"",""gate"":""124"",""baggageBelt"":[""14""],""status"":""Canceled"",""originalStatus"":""XL"",""isDelayed"":false,""isVisible"":true,""isDeleted"":false,""scheduledTimestamp"":1762524900,""actualTimestamp"":1762524300,""bestKnownTimestamp"":1762524300,""lastUpdatedTimestamp"":1762464293,""iataOperatingAirlineFlightNumber"":""WN1733"",""icaoOperatingAirlineFlightNumber"":""SWA1733"",""iataCodeShareFlightNumber"":""WN1733"",""icaoCodeShareFlightNumber"":""SWA1733"",""id"":""eyJjb2RlU2hhcmVGbGlnaHROdW1iZXIiOiJXTjE3MzMiLCJ2aWFBaXJwb3J0IjoiQldJIiwiYXJyaXZhbCI6dHJ1ZSwic2NoZWR1bGVkRGF0ZSI6IjIwMjUtMTEtMDciLCJhcnJpdmFsQWlycG9ydCI6Ik1DTyIsImRlcGFydHVyZUFpcnBvcnQiOiJCV0kifQ==""}",1762453405,1762577002,B738,WN,WN_B738,175,1
7cf642b1fa380a1c2307fcaac274dbb8b75095a8,B6583,JFK,MCO,11/7/25,1762525440,1,Canceled,1,C,C235,"{""scheduledDate"":""2025-11-07"",""arrival"":true,""codeShareFlightNumber"":""B6583"",""codeShareAirlineTrackNumber"":""583"",""iataCodeShareAirline"":""B6"",""icaoCodeShareAirline"":""JBU"",""operatingAirlineFlightNumber"":""B6583"",""operatingAirlineTrackNumber"":""583"",""iataOperatingAirline"":""B6"",""icaoOperatingAirline"":""JBU"",""baseAirport"":""MCO"",""departureAirport"":""JFK"",""arrivalAirport"":""MCO"",""viaAirport"":""JFK"",""viaSequencePosition"":0,""terminal"":""C"",""gate"":""C235"",""baggageBelt"":[""C51""],""status"":""Canceled"",""originalStatus"":""CX"",""isDelayed"":false,""isVisible"":true,""isDeleted"":false,""scheduledTimestamp"":1762525440,""actualTimestamp"":1762524840,""bestKnownTimestamp"":1762524840,""lastUpdatedTimestamp"":1762469940,""iataOperatingAirlineFlightNumber"":""B6583"",""icaoOperatingAirlineFlightNumber"":""JBU583"",""iataCodeShareFlightNumber"":""B6583"",""icaoCodeShareFlightNumber"":""JBU583"",""id"":""eyJjb2RlU2hhcmVGbGlnaHROdW1iZXIiOiJCNjU4MyIsInZpYUFpcnBvcnQiOiJKRksiLCJhcnJpdmFsIjp0cnVlLCJzY2hlZHVsZWREYXRlIjoiMjAyNS0xMS0wNyIsImFycml2YWxBaXJwb3J0IjoiTUNPIiwiZGVwYXJ0dXJlQWlycG9ydCI6IkpGSyJ9""}",1762453405,1762577002,A320,B6,B6_A320,150,1
a62cad0ebd4a8720019945a7c8b71b7623974c97,DL1953,LGA,MCO,11/7/25,1762526700,1,Canceled,1,B,73,"{""scheduledDate"":""2025-11-07"",""arrival"":true,""codeShareFlightNumber"":""DL1953"",""codeShareAirlineTrackNumber"":""1953"",""iataCodeShareAirline"":""DL"",""icaoCodeShareAirline"":""DAL"",""operatingAirlineFlightNumber"":""DL1953"",""operatingAirlineTrackNumber"":""1953"",""iataOperatingAirline"":""DL"",""icaoOperatingAirline"":""DAL"",""baseAirport"":""MCO"",""departureAirport"":""LGA"",""arrivalAirport"":""MCO"",""viaAirport"":""LGA"",""viaSequencePosition"":0,""terminal"":""B"",""gate"":""73"",""baggageBelt"":[""30""],""status"":""Canceled"",""originalStatus"":""CX"",""isDelayed"":false,""isVisible"":true,""isDeleted"":false,""scheduledTimestamp"":1762526700,""actualTimestamp"":1762525920,""bestKnownTimestamp"":1762525920,""lastUpdatedTimestamp"":1762455601,""iataOperatingAirlineFlightNumber"":""DL1953"",""icaoOperatingAirlineFlightNumber"":""DAL1953"",""iataCodeShareFlightNumber"":""DL1953"",""icaoCodeShareFlightNumber"":""DAL1953"",""id"":""eyJjb2RlU2hhcmVGbGlnaHROdW1iZXIiOiJETDE5NTMiLCJ2aWFBaXJwb3J0IjoiTEdBIiwiYXJyaXZhbCI6dHJ1ZSwic2NoZWR1bGVkRGF0ZSI6IjIwMjUtMTEtMDciLCJhcnJpdmFsQWlycG9ydCI6Ik1DTyIsImRlcGFydHVyZUFpcnBvcnQiOiJMR0EifQ==""}",1762453405,1762577002,B739,DL,DL_B739,173,1
090946f1602116ac03fb8f33e0a4ec0ce4c7546c,WN1155,MCO,BNA,11/7/25,1762527300,0,Canceled,1,A,124,"{""scheduledDate"":""2025-11-07"",""arrival"":false,""codeShareFlightNumber"":""WN1155"",""codeShareAirlineTrackNumber"":""1155"",""iataCodeShareAirline"":""WN"",""icaoCodeShareAirline"":""SWA"",""operatingAirlineFlightNumber"":""WN1155"",""operatingAirlineTrackNumber"":""1155"",""iataOperatingAirline"":""WN"",""icaoOperatingAirline"":""SWA"",""baseAirport"":""MCO"",""departureAirport"":""MCO"",""arrivalAirport"":""BNA"",""viaAirport"":""BNA"",""viaSequencePosition"":0,""terminal"":""A"",""gate"":""124"",""baggageBelt"":[],""status"":""Canceled"",""originalStatus"":""XL"",""isDelayed"":false,""isVisible"":true,""isDeleted"":false,""scheduledTimestamp"":1762527300,""actualTimestamp"":1762527300,""bestKnownTimestamp"":1762527300,""lastUpdatedTimestamp"":1762463414,""iataOperatingAirlineFlightNumber"":""WN1155"",""icaoOperatingAirlineFlightNumber"":""SWA1155"",""iataCodeShareFlightNumber"":""WN1155"",""icaoCodeShareFlightNumber"":""SWA1155"",""id"":""eyJjb2RlU2hhcmVGbGlnaHROdW1iZXIiOiJXTjExNTUiLCJ2aWFBaXJwb3J0IjoiQk5BIiwiYXJyaXZhbCI6ZmFsc2UsInNjaGVkdWxlZERhdGUiOiIyMDI1LTExLTA3IiwiYXJyaXZhbEFpcnBvcnQiOiJCTkEiLCJkZXBhcnR1cmVBaXJwb3J0IjoiTUNPIn0=""}",1762453405,1762577002,B738,WN,WN_B738,175,1
04b9cb910da16414e26fcb17c1373abe0ccb9ffc,DL1953,MCO,LGA,11/7/25,1762530600,0,Canceled,1,B,73,"{""scheduledDate"":""2025-11-07"",""arrival"":false,""codeShareFlightNumber"":""DL1953"",""codeShareAirlineTrackNumber"":""1953"",""iataCodeShareAirline"":""DL"",""icaoCodeShareAirline"":""DAL"",""operatingAirlineFlightNumber"":""DL1953"",""operatingAirlineTrackNumber"":""1953"",""iataOperatingAirline"":""DL"",""icaoOperatingAirline"":""DAL"",""baseAirport"":""MCO"",""departureAirport"":""MCO"",""arrivalAirport"":""LGA"",""viaAirport"":""LGA"",""viaSequencePosition"":0,""terminal"":""B"",""gate"":""73"",""baggageBelt"":[],""status"":""Canceled"",""originalStatus"":""CX"",""isDelayed"":false,""isVisible"":true,""isDeleted"":false,""scheduledTimestamp"":1762530600,""actualTimestamp"":1762530600,""bestKnownTimestamp"":1762530600,""lastUpdatedTimestamp"":1762455601,""iataOperatingAirlineFlightNumber"":""DL1953"",""icaoOperatingAirlineFlightNumber"":""DAL1953"",""iataCodeShareFlightNumber"":""DL1953"",""icaoCodeShareFlightNumber"":""DAL1953"",""id"":""eyJjb2RlU2hhcmVGbGlnaHROdW1iZXIiOiJETDE5NTMiLCJ2aWFBaXJwb3J0IjoiTEdBIiwiYXJyaXZhbCI6ZmFsc2UsInNjaGVkdWxlZERhdGUiOiIyMDI1LTExLTA3IiwiYXJyaXZhbEFpcnBvcnQiOiJMR0EiLCJkZXBhcnR1cmVBaXJwb3J0IjoiTUNPIn0=""}",1762453405,1762577003,B739,DL,DL_B739,173,1
bd8b0bee4f30a61e5d09608de6bba34bc5cd68b4,B62584,MCO,JFK,11/7/25,1762531200,0,Canceled,1,C,C235,"{""scheduledDate"":""2025-11-07"",""arrival"":false,""codeShareFlightNumber"":""B62584"",""codeShareAirlineTrackNumber"":""2584"",""iataCodeShareAirline"":""B6"",""icaoCodeShareAirline"":""JBU"",""operatingAirlineFlightNumber"":""B62584"",""operatingAirlineTrackNumber"":""2584"",""iataOperatingAirline"":""B6"",""icaoOperatingAirline"":""JBU"",""baseAirport"":""MCO"",""departureAirport"":""MCO"",""arrivalAirport"":""JFK"",""viaAirport"":""JFK"",""viaSequencePosition"":0,""terminal"":""C"",""gate"":""C235"",""baggageBelt"":[],""status"":""Canceled"",""originalStatus"":""CX"",""isDelayed"":false,""isVisible"":true,""isDeleted"":false,""scheduledTimestamp"":1762531200,""actualTimestamp"":1762531200,""bestKnownTimestamp"":1762531200,""lastUpdatedTimestamp"":1762469941,""iataOperatingAirlineFlightNumber"":""B62584"",""icaoOperatingAirlineFlightNumber"":""JBU2584"",""iataCodeShareFlightNumber"":""B62584"",""icaoCodeShareFlightNumber"":""JBU2584"",""id"":""eyJjb2RlU2hhcmVGbGlnaHROdW1iZXIiOiJCNjI1ODQiLCJ2aWFBaXJwb3J0IjoiSkZLIiwiYXJyaXZhbCI6ZmFsc2UsInNjaGVkdWxlZERhdGUiOiIyMDI1LTExLTA3IiwiYXJyaXZhbEFpcnBvcnQiOiJKRksiLCJkZXBhcnR1cmVBaXJwb3J0IjoiTUNPIn0=""}",1762453405,1762577003,A320,B6,B6_A320,150,1
